timestamp,git_commit,tag,device,package,speed,luts_used,luts_total,luts_pct,ffs_used,ffs_total,ffs_pct,bram_used,bram_total,bram_pct,fmax_mhz,target_mhz,timing_pass,source_log,notes
2026-07-21T23:11:20+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_dual_t32,LFE5U-12F,BG256,8,10197,24288,41.98,3856,24288,15.88,10,56,17.86,58.42,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + dual; threads=32
2026-07-21T23:12:02+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_t32,LFE5U-12F,BG256,8,6622,24288,27.26,2872,24288,11.82,8,56,14.29,63.12,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras; threads=32
2026-07-21T23:12:45+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_t32,LFE5U-12F,BG256,8,6916,24288,28.47,3028,24288,12.47,10,56,17.86,66.26,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare; threads=32
2026-07-21T23:13:48+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_dual_t32,LFE5U-12F,BG256,8,10328,24288,42.52,3891,24288,16.02,10,56,17.86,65.32,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras + dual; threads=32
2026-07-21T23:15:03+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_dual_t32,LFE5U-12F,BG256,8,10724,24288,44.15,4231,24288,17.42,12,56,21.43,57.84,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + dual; threads=32
2026-07-21T23:15:38+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_t32,LFE5U-12F,BG256,8,6897,24288,28.40,3063,24288,12.61,10,56,17.86,72.80,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + ras; threads=32
2026-07-21T23:16:43+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_t32,LFE5U-12F,BG256,8,10959,24288,45.12,4266,24288,17.56,12,56,21.43,59.95,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + ras + dual; threads=32
2026-07-21T23:17:13+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_clint_uart_t32,LFE5U-12F,BG256,8,6528,24288,26.88,2695,24288,11.10,8,56,14.29,72.14,25.00,yes,riscv-64/out/sim/microsoc_exh_01_base_nextpnr.log,soc exhaustive base + clint + uart; threads=32
2026-07-21T23:17:49+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_clint_uart_t32,LFE5U-12F,BG256,8,6778,24288,27.91,2933,24288,12.08,10,56,17.86,81.57,25.00,yes,riscv-64/out/sim/microsoc_exh_02_i4k_nextpnr.log,soc exhaustive i4k + clint + uart; threads=32
2026-07-21T23:18:35+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_clint_uart_t32,LFE5U-12F,BG256,8,7694,24288,31.68,3432,24288,14.13,14,56,25.00,91.12,25.00,yes,riscv-64/out/sim/microsoc_exh_03_i4k_d4k_nextpnr.log,soc exhaustive i4k + d4k + clint + uart; threads=32
